car_company,model_ID,mileage,engine_power,registration_date,fuel,car_paint_color,car_type,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,sold_date,car_price
Edureka_motors,318 Gran Turismo,140245,105,01-10-2014,diesel,white,hatchback,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,01-03-2018,19200
Edureka_motors,218 Active Tourer,91512,100,01-06-2015,petrol,white,van,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,01-05-2018,14300
Edureka_motors,318,113744,100,01-06-2012,diesel,grey,sedan,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,01-06-2018,14300
Edureka_motors,320 Gran Turismo,195063,135,01-05-2014,diesel,black,hatchback,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,01-03-2018,16200
Edureka_motors,518,148943,100,01-11-2013,diesel,brown,estate,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,01-05-2018,17300
Edureka_motors,520,150439,120,01-10-2012,diesel,grey,sedan,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,01-03-2018,13700
Edureka_motors,X5,96715,160,01-06-2014,diesel,brown,suv,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,01-08-2018,35400
Edureka_motors,116,137660,85,01-10-2012,diesel,blue,hatchback,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,01-06-2018,9000
Edureka_motors,530,160072,190,01-03-2014,diesel,black,sedan,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,01-04-2018,27300
Edureka_motors,318 Gran Turismo,43032,100,01-01-2016,diesel,white,hatchback,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,01-03-2018,23800
Edureka_motors,320,25974,120,01-05-2015,diesel,black,estate,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,01-03-2018,9500
Edureka_motors,118,54093,110,01-10-2015,diesel,black,subcompact,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,01-05-2018,16300
Edureka_motors,X6,128629,225,01-05-2014,diesel,white,suv,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,01-05-2018,36100
Edureka_motors,520,149502,120,01-03-2010,diesel,black,estate,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,01-05-2018,9900
Edureka_motors,X3,193693,100,01-03-2013,diesel,black,suv,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,01-02-2018,10800
Edureka_motors,118,1000376,90,01-03-2005,diesel,black,subcompact,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,01-06-2018,1400
Edureka_motors,320,195889,120,01-03-2014,diesel,black,estate,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,01-05-2018,12300
Edureka_motors,420 Gran Coupé,104133,140,01-03-2015,diesel,white,hatchback,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,01-01-2018,30200
